time	latitude	longitude	depth	mag	magType	nst	gap	dmin	rms	net	id	updated	place	type	horizontalError	depthError	magError	magNst	status	locationSource	magSource
2023-09-28T07:46:38.032Z	31.511	-104.149	3.7921	1.9	ml(texnet)	17	74	0.1	0.2	tx	tx2023szxf	2023-09-28T13:34:19.377Z	western Texas	earthquake	2.694069103	2.17674856	0.2	6	reviewed	tx	tx
2023-09-28T07:42:48.750Z	46.8445	-121.7431667	0.26	0.48	ml	18	68	0.01129	0.08	uw	uw61953867	2023-09-28T15:34:58.200Z	23 km ENE of Ashford, Washington	earthquake	0.19	0.46	0.204542358	6	reviewed	uw	uw
2023-09-28T07:42:27.360Z	18.07383333	-66.92116667	16.4	2.51	md	10	134	0.1221	0.17	pr	pr71426288	2023-09-28T07:53:54.170Z	4 km NNE of Liborio Negron Torres, Puerto Rico	earthquake	0.58	0.95	0.116828837	6	reviewed	pr	pr
2023-09-28T07:41:57.092Z	64.8635	-155.2913	6.4	1.7	ml				0.44	ak	ak023cgb1ztp	2023-09-28T07:44:26.122Z	16 km NE of Ruby, Alaska	earthquake		0.3			automatic	ak	ak
2023-09-28T07:11:08.060Z	17.923	-66.28833333	10.22	2.36	md	15	200	0.1226	0.2	pr	pr71426283	2023-09-28T07:22:48.360Z	6 km S of Salinas, Puerto Rico	earthquake	0.55	0.93	0.08498378	5	reviewed	pr	pr
2023-09-28T07:04:51.254Z	38.1665	-117.8231	10.8	2.2	ml	13	64.02	0.127	0.1266	nn	nn00866454	2023-09-28T16:01:26.899Z	35 km SE of Mina, Nevada	earthquake		1.2	0.32	8	reviewed	nn	nn
2023-09-28T07:01:45.041Z	61.3107	-147.5629	22.4	1.3	ml				0.44	ak	ak023cgatear	2023-09-28T07:04:04.342Z	Southern Alaska	earthquake		1.2			automatic	ak	ak
2023-09-28T06:57:12.377Z	-23.7829	-70.2462	67.08	4.2	mb	18	165	0.852	0.47	us	us6000lbbg	2023-09-28T08:59:51.040Z	20 km SE of Antofagasta, Chile	earthquake	5.03	9.266	0.2	7	reviewed	us	us
2023-09-28T06:47:11.791Z	31.596	-104.546	6.0544	2	ml(texnet)	21	75	0.1	0.2	tx	tx2023szvf	2023-09-28T19:11:01.417Z	66 km SSW of Whites City, New Mexico	earthquake	1.443798047	1.929831844	0	6	reviewed	tx	tx
2023-09-28T06:44:19.848Z	59.8657	-151.8365	71.9	1.2	ml				0.16	ak	ak023cgah4hs	2023-09-28T06:46:06.094Z	9 km N of Anchor Point, Alaska	earthquake		1.9			automatic	ak	ak
2023-09-28T06:42:19.600Z	17.93416667	-66.289	13.41	2.71	md	13	197	0.1613	0.25	pr	pr71426263	2023-09-28T06:51:58.280Z	Puerto Rico region	earthquake	0.81	0.49	0.196738752	8	reviewed	pr	pr
